year,city,country,temp_city,,,year,temp_global,,Correlation coefficient,,
1903,London,United Kingdom,9.45,9.45,-0.27,1903,8.22,8.295,,-0.13,1.23
1904,London,United Kingdom,9.18,9.426,0.07,1904,8.09,8.288,,0.14,1.09
1905,London,United Kingdom,9.25,9.46,0.37,1905,8.23,8.296,,0.15,1.02
1906,London,United Kingdom,9.62,9.481,-0.59,1906,8.38,8.313,,-0.43,1.24
1907,London,United Kingdom,9.03,9.434,0.28,1907,7.95,8.279,,0.24,1.08
1908,London,United Kingdom,9.31,9.357,-0.61,1908,8.19,8.28,,-0.01,1.12
1909,London,United Kingdom,8.7,9.242,0.69,1909,8.18,8.258,,0.04,0.52
1910,London,United Kingdom,9.39,9.208,0.83,1910,8.22,8.23,,-0.04,1.17
1911,London,United Kingdom,10.22,9.31,-0.65,1911,8.18,8.194,,-0.01,2.04
1912,London,United Kingdom,9.57,9.372,0.32,1912,8.17,8.181,,0.13,1.4
1913,London,United Kingdom,9.89,9.416,0.09,1913,8.3,8.189,,0.29,1.59
1914,London,United Kingdom,9.98,9.496,-0.91,1914,8.59,8.239,,0,1.39
1915,London,United Kingdom,9.07,9.478,0.21,1915,8.59,8.275,,-0.36,0.48
1916,London,United Kingdom,9.28,9.444,-0.63,1916,8.23,8.26,,-0.21,1.05
1917,London,United Kingdom,8.65,9.406,0.95,1917,8.02,8.267,,0.11,0.63
1918,London,United Kingdom,9.6,9.435,-1.12,1918,8.13,8.261,,0.25,1.47
1919,London,United Kingdom,8.48,9.413,1.19,1919,8.38,8.281,,-0.02,0.1
1920,London,United Kingdom,9.67,9.441,0.93,1920,8.36,8.295,,0.21,1.31
1921,London,United Kingdom,10.6,9.479,-1.79,1921,8.57,8.334,,-0.16,2.03
1922,London,United Kingdom,8.81,9.403,0.36,1922,8.41,8.358,,0.01,0.4
1923,London,United Kingdom,9.17,9.331,0.17,1923,8.42,8.37,,0.09,0.75
1924,London,United Kingdom,9.34,9.267,-0.03,1924,8.51,8.362,,0.02,0.83
1925,London,United Kingdom,9.31,9.291,0.52,1925,8.53,8.356,,0.2,0.78
1926,London,United Kingdom,9.83,9.346,-0.58,1926,8.73,8.406,,-0.21,1.1
1927,London,United Kingdom,9.25,9.406,0.44,1927,8.52,8.456,,0.11,0.73
1928,London,United Kingdom,9.69,9.415,-0.6,1928,8.63,8.506,,-0.39,1.06
1929,London,United Kingdom,9.09,9.476,0.61,1929,8.24,8.492,,0.39,0.85
1930,London,United Kingdom,9.7,9.479,-0.58,1930,8.63,8.519,,0.09,1.07
1931,London,United Kingdom,9.12,9.331,0.45,1931,8.72,8.534,,-0.01,0.4
1932,London,United Kingdom,9.57,9.407,0.39,1932,8.71,8.564,,-0.37,0.86
1933,London,United Kingdom,9.96,9.486,0.15,1933,8.34,8.556,,0.29,1.62
1934,London,United Kingdom,10.11,9.563,-0.21,1934,8.63,8.568,,-0.11,1.48
1935,London,United Kingdom,9.9,9.622,-0.47,1935,8.52,8.567,,0.03,1.38
1936,London,United Kingdom,9.43,9.582,0.26,1936,8.55,8.549,,0.15,0.88
1937,London,United Kingdom,9.69,9.626,0.49,1937,8.7,8.567,,0.16,0.99
1938,London,United Kingdom,10.18,9.675,-0.41,1938,8.86,8.59,,-0.1,1.32
1939,London,United Kingdom,9.77,9.743,-0.71,1939,8.76,8.642,,0,1.01
1940,London,United Kingdom,9.06,9.679,0.03,1940,8.76,8.655,,0.01,0.3
1941,London,United Kingdom,9.09,9.676,0.01,1941,8.77,8.66,,-0.04,0.32
1942,London,United Kingdom,9.1,9.629,1.09,1942,8.73,8.662,,0.03,0.37
1943,London,United Kingdom,10.19,9.652,-0.57,1943,8.76,8.704,,0.09,1.43
1944,London,United Kingdom,9.62,9.603,0.77,1944,8.85,8.726,,-0.27,0.77
1945,London,United Kingdom,10.39,9.652,-0.81,1945,8.58,8.732,,0.1,1.81
1946,London,United Kingdom,9.58,9.667,0.17,1946,8.68,8.745,,0.12,0.9
1947,London,United Kingdom,9.75,9.673,0.41,1947,8.8,8.755,,-0.05,0.95
1948,London,United Kingdom,10.16,9.671,0.47,1948,8.75,8.744,,-0.16,1.41
1949,London,United Kingdom,10.63,9.757,-0.88,1949,8.59,8.727,,-0.22,2.04
1950,London,United Kingdom,9.75,9.826,-0.23,1950,8.37,8.688,,0.26,1.38
1951,London,United Kingdom,9.52,9.869,-0.17,1951,8.63,8.674,,0.01,0.89
1952,London,United Kingdom,9.35,9.894,0.6,1952,8.64,8.665,,0.23,0.71
1953,London,United Kingdom,9.95,9.87,-0.6,1953,8.87,8.676,,-0.31,1.08
1954,London,United Kingdom,9.35,9.843,0.04,1954,8.56,8.647,,0.07,0.79
1955,London,United Kingdom,9.39,9.743,-0.52,1955,8.63,8.652,,-0.35,0.76
1956,London,United Kingdom,8.87,9.672,1.39,1956,8.28,8.612,,0.45,0.59
1957,London,United Kingdom,10.26,9.723,-0.6,1957,8.73,8.605,,0.04,1.53
1958,London,United Kingdom,9.66,9.673,0.97,1958,8.77,8.607,,-0.04,0.89
1959,London,United Kingdom,10.63,9.673,-0.75,1959,8.73,8.621,,-0.15,1.9
1960,London,United Kingdom,9.88,9.686,0.32,1960,8.58,8.642,,0.22,1.3
1961,London,United Kingdom,10.2,9.754,-1.55,1961,8.8,8.659,,-0.05,1.4
1962,London,United Kingdom,8.65,9.684,-0.17,1962,8.75,8.67,,0.11,-0.1
1963,London,United Kingdom,8.48,9.537,1.05,1963,8.86,8.669,,-0.45,-0.38
1964,London,United Kingdom,9.53,9.555,-0.5,1964,8.41,8.654,,0.12,1.12
1965,London,United Kingdom,9.03,9.519,0.56,1965,8.53,8.644,,0.07,0.5
1966,London,United Kingdom,9.59,9.591,0.22,1966,8.6,8.676,,0.1,0.99
1967,London,United Kingdom,9.81,9.546,-0.33,1967,8.7,8.673,,-0.18,1.11
1968,London,United Kingdom,9.48,9.528,-0.01,1968,8.52,8.648,,0.08,0.96
1969,London,United Kingdom,9.47,9.412,0.22,1969,8.6,8.635,,0.1,0.87
1970,London,United Kingdom,9.69,9.393,0.2,1970,8.7,8.647,,-0.1,0.99
1971,London,United Kingdom,9.89,9.362,-0.48,1971,8.6,8.627,,-0.1,1.29
1972,London,United Kingdom,9.41,9.438,0.34,1972,8.5,8.602,,0.45,0.91
1973,London,United Kingdom,9.75,9.565,-0.05,1973,8.95,8.611,,-0.48,0.8
1974,London,United Kingdom,9.7,9.582,0.29,1974,8.47,8.617,,0.27,1.23
1975,London,United Kingdom,9.99,9.678,0.29,1975,8.74,8.638,,-0.39,1.25
1976,London,United Kingdom,10.28,9.747,-0.59,1976,8.35,8.613,,0.5,1.93
1977,London,United Kingdom,9.69,9.735,-0.28,1977,8.85,8.628,,-0.16,0.84
1978,London,United Kingdom,9.41,9.728,-0.35,1978,8.69,8.645,,0.04,0.72
1979,London,United Kingdom,9.06,9.687,0.48,1979,8.73,8.658,,0.25,0.33
1980,London,United Kingdom,9.54,9.672,-0.16,1980,8.98,8.686,,0.19,0.56
1981,London,United Kingdom,9.38,9.621,0.69,1981,9.17,8.743,,-0.53,0.21
1982,London,United Kingdom,10.07,9.687,0.05,1982,8.64,8.757,,0.39,1.43
1983,London,United Kingdom,10.12,9.724,-0.37,1983,9.03,8.765,,-0.34,1.09
1984,London,United Kingdom,9.75,9.729,-0.75,1984,8.69,8.787,,-0.03,1.06
1985,London,United Kingdom,9,9.63,-0.06,1985,8.66,8.779,,0.17,0.34
1986,London,United Kingdom,8.94,9.496,0.28,1986,8.83,8.827,,0.16,0.11
1987,London,United Kingdom,9.22,9.449,0.6,1987,8.99,8.841,,0.21,0.23
1988,London,United Kingdom,9.82,9.49,0.94,1988,9.2,8.892,,-0.28,0.62
1989,London,United Kingdom,10.76,9.66,0.18,1989,8.92,8.911,,0.31,1.84
1990,London,United Kingdom,10.94,9.8,-1.27,1990,9.23,8.936,,-0.05,1.71
1991,London,United Kingdom,9.67,9.829,0.48,1991,9.18,8.937,,-0.34,0.49
1992,London,United Kingdom,10.15,9.837,-0.46,1992,8.84,8.957,,0.03,1.31
1993,London,United Kingdom,9.69,9.794,0.79,1993,8.87,8.941,,0.17,0.82
1994,London,United Kingdom,10.48,9.867,0.07,1994,9.04,8.976,,0.31,1.44
1995,London,United Kingdom,10.55,10.022,-1.28,1995,9.35,9.045,,-0.31,1.2
1996,London,United Kingdom,9.27,10.055,1.37,1996,9.04,9.066,,0.16,0.23
1997,London,United Kingdom,10.64,10.197,-0.24,1997,9.2,9.087,,0.32,1.44
1998,London,United Kingdom,10.4,10.255,0.46,1998,9.52,9.119,,-0.23,0.88
1999,London,United Kingdom,10.86,10.265,-0.34,1999,9.29,9.156,,-0.09,1.57
2000,London,United Kingdom,10.52,10.223,-0.34,2000,9.2,9.153,,0.21,1.32
2001,London,United Kingdom,10.18,10.274,0.73,2001,9.41,9.176,,0.16,0.77
2002,London,United Kingdom,10.91,10.35,-0.1,2002,9.57,9.249,,-0.04,1.34
2003,London,United Kingdom,10.81,10.462,-0.04,2003,9.53,9.315,,-0.21,1.28
2004,London,United Kingdom,10.77,10.491,-0.14,2004,9.32,9.343,,0.38,1.45
2005,London,United Kingdom,10.63,10.499,0.47,2005,9.7,9.378,,-0.17,0.93
2006,London,United Kingdom,11.1,10.682,-0.27,2006,9.53,9.427,,0.2,1.57
2007,London,United Kingdom,10.83,10.701,-0.45,2007,9.73,9.48,,-0.3,1.1
2008,London,United Kingdom,10.38,10.699,0.14,2008,9.43,9.471,,0.08,0.95
2009,London,United Kingdom,10.52,10.665,-1.14,2009,9.51,9.493,,0.19,1.01
2010,London,United Kingdom,9.38,10.551,1.81,2010,9.7,9.543,,-0.18,-0.32
2011,London,United Kingdom,11.19,10.652,-1.19,2011,9.52,9.554,,-0.01,1.67
2012,London,United Kingdom,10,10.561,-0.09,2012,9.51,9.548,,0.1,0.49
2013,London,United Kingdom,9.91,10.471,,2013,9.61,9.556,,,0.3
,,,,,,,,,,,
,,Min,6.54,,-0.001292776,,5.78,,,0.00338403,1.100340909
,,Max,11.19,,,,9.73,,,,
